Date,Amount,Category,Expense_Type,Merchant,Fraud_Label
2025-01-01,6000,Rent,Necessary,Apartment Rent,0
2025-01-01,3000,Food,Necessary,Local Dhaba,0
2025-01-02,4000,EMI,Necessary,Car Loan,0
2025-01-02,3800,Shopping,Luxury,Amazon,1
2025-01-03,4500,Entertainment,Luxury,PVR Cinemas,0
2025-01-04,2000,Food,Necessary,McDonald's,0
2025-01-05,2500,Bills,Necessary,Electricity Bill,0
2025-01-06,3000,Shopping,Luxury,Nike,1
2025-01-07,3500,EMI,Necessary,Personal Loan,0
2025-01-08,1200,Food,Necessary,KFC,0
2025-01-09,2700,Entertainment,Luxury,Concert Tickets,1
2025-01-10,3500,Bills,Necessary,Internet Bill,0
2025-01-11,1800,Food,Necessary,Subway,0
2025-01-12,3100,Travel,Luxury,Indigo Airlines,1
2025-01-13,2200,Bills,Necessary,Water Bill,0
2025-01-14,4000,Education,Necessary,Online Course,0
2025-01-15,900,Entertainment,Luxury,Netflix,0
2025-01-16,5000,Shopping,Luxury,Flipkart,1
2025-01-17,3000,Food,Necessary,Domino's,0
2025-01-18,4500,EMI,Necessary,Home Loan,0
2025-01-19,3200,Bills,Necessary,Phone Bill,0
2025-01-20,1000,Food,Necessary,Local Dhaba,0
2025-01-21,2500,Bills,Necessary,Gas Bill,0
2025-01-22,3700,Shopping,Luxury,Adidas,1
2025-01-23,1500,Food,Necessary,KFC,0
2025-01-24,2000,Entertainment,Luxury,Gaming Subscription,0
2025-01-25,2900,EMI,Necessary,Student Loan,0
2025-01-26,500,Food,Necessary,Tea Stall,0
2025-01-27,4000,Travel,Luxury,Goibibo,1
2025-01-28,1700,Entertainment,Luxury,Movie Ticket,0
2025-01-29,4400,Bills,Necessary,Internet Bill,0
2025-01-30,1800,Food,Necessary,McDonald's,0
2025-01-31,2000,Shopping,Luxury,Allen Solly,1
